,ingredients
"Milk,lemon juice,sugar,corn flour,khoa,coconut shredded,elaichi,figs",{0}
"Raisins,ghee,dates,pista,cashew,almonds,elaichi powder",{0}
"Milk powder,maida,ghee,baking powder,almonds,pista,raisins,sugar,ground cardamom",{0}
"Green lentil,ghee,sugar,milk,almonds,elaichi",{0}
"Walnut,sugar,Cucumber seeds,Cardamom powder,,Saffron,dates,milk",{0}
"Condensed Milk,Milk,cashew,pista,almonds,Pumpkin ,Desiccated Coconut
,ghee,elaichi powder",{0}
"Egg,salt,pepper,chilli powder",{0}
"Egg,salt,chilli powder,onion,green chilli",{0}
"Egg,paneer,butter,ginger,onion,tomato,red chilli powder",{0}
,{0}
"Egg,Green Chili Paste,tomato,garlic,ginger,garam masala",{0}
"Wheat flour,salt,ghee",{0}
,{0}
,{0}
,{0}
,{0}
"Wheat flour,potato,ghee,amchur,green chilli,garam masala",{0}
"Wheat flour,cauliflower,ghee,amchur,green chilli,garam masala",{0}
"Wheat flour,paneer,ghee,amchur,green chilli,garam masala",{0}
"Wheat flour,onion,ghee,amchur,green chilli,garam masala",{0}
"Wheat flour,fenugreek leaves,ghee,amchur,green chilli,garam masala",{0}
"Gram flour,bread,green chilli,salt",{0}
"Bread,butter",{0}
"Bread,potato,chilli powder,onion,butter",{0}
"Bread,butter,cucumber,onion,tomato,carrot,beetroot,green chilli,sauce",{0}
"Bread,cheese,butter,carrot,capsicum,onion,corn,parsley",{0}
"Sour cream, mayonnaise, vinegar, jalapeno,cucumber,onion,tomato,corn",{0}
"Orange juice, lemon juice, brown sugar,pineapple, strawberries, kiwi fruit, bananas, oranges, grapes,blueberries",{0}
"sprouted moong, chana dal,kabuli chana,onion, cucumber, capsicum,tomatoes,chaat masala",{0}
"Boondi,yogurt,chaat masala,salt,coriander leaves",{0}
"Yogurt,mint leaves,coriander leaves,onion,salt",{0}
"Yogurt,coriander leaves,black pepper,salt,cumin seeds",{0}
"Beans, carrot, cauliflower,capsicum, cabbage,celery,spring onions,soya sauce,red chilly sauce,vegetable stock,fried noodles,ginger,garlic",{0}
"Veg stock,spring onion,cucumber,chili sauce,sugar,corn flour,vinegrar,wonton",{0}
"Corn,celery,spring onion,milk,corn flour,black pepper",{0}
"Toamto,onion,garlic,celery,vegetable broth,carrot,sauce",{0}
"Spinach,onion,garlic,butter,maida",{0}
"Lamb trotter,Bengal Gram,ginger,garlic,green chili,elaichi",{0}
"Onion,butter,beef broth,sherry,french bread,cheese,",{0}
"Chicken,chicken broth,chicken soup base,rice,maida,lemon,onion,celery,carrot,egg yolk",{0}
"Cabbage,carrot,capsicum,spring onion,ginger, garlic, corn flour, maida, salt, black pepper,sauce,vinegar",{0}
"Noodles,Cabbage,carrot,capsicum,spring onion,beans,ginger, garlic, sauce,vinegar",{0}
"Rice,french beans, carrot, capsicum, cabbage, celery,Spring Onion,garlic,sauce",{0}
"Rice,noodles, spring onions, cabbage,carrots,ginger, garlic,cornflour,celery,sauce",{0}
"Hakka noodles,spring onion,carrot,beans,mushroom,capsicum,garlic,celery,vinegar,soya sauce,green chilli",{0}
"Onion,garlic,ginger,cauliflower,sauce,vinegar,maida,mushroom,potato,corn flour",{0}
"rice,spring onion,alfalfa sprouts,eggs,pepper",{0}
"Green capsicum,olive,pizza crust,mushroom,cheese,onion,sauce",{0}
"Pizza dough,garlic,butter,sauce,Monteray jack cheese,cheddar cheese,Mozzarella cheese",{0}
,{0}
,{0}
"Chicken breast,ginger,garlic,pizza crust,soya sauce,sauce,water chestnuts,onion,cheese,snow pea pods",{0}
"Pizza crust,barbeque sauce,barbeque sauce,onion,cheese,chicken",{0}
"Pizza dough,garlic,sauce,cheese,tomato,basil",{0}
,{0}
"Garlic,tomato,sugar,oregano,lemon juice,pasta,cheese,basil",{0}
,{0}
,{0}
,{0}
"Apple,Granny Smith apples,sugar,maida,shortening,butter",{0}
"Butter,sugar,eggs,vanilla extract,cocoa powder,maida,baking powder,butter,honey",{0}
"Apple,sugar,maida,oats,butter,brown sugar,baking powder,baking soda",{0}
"Bread,butter,eggs,raisins,milk,sugar",{0}
,{0}
"Curd,cumin powder,pepper,coriander leaves",{0}
"Mango,peach,nectarine,orange,sugar",{0}
"Lemon juice,sugar",{0}
"Orange,lemon juice,sugar",{0}
"Apple,sugar",{0}
"Watermelon,sugar,lemon juice",{0}
"Aloe vera juice,yogurt,pineapple,spinach,banana,ginger",{0}
"Sugarcane juice,lemon juice,ginger",{0}
,{0}
"Kiwi,apple,celery",{0}
"Pineapple,sugar,pepper,salt",{0}
"Strawberry,sugar",{0}
"Beetroot,apple,celery,carrot,lemon,ginger",{0}
"Orange,carrot,apple,lemon,nectarine,mint,ginger",{0}
"Tomato,celery,capsicum,onion,beetroot,carrot,garlic,horseradish,lemon juice,sugar",{0}
"Cucumber,green chili pepper,mint leaves,lime juice",{0}
"Rose petals,lemon juice,beetroot,basil,mint,cardamom,coriander",{0}
"Guava,tomato,sugar,salt,pepper",{0}
,{0}
"Ricotta cheese,sugar,cardamom,saffron,almond,pista,half and half",{0}
"Milk,sugar,cardamom,saffron,almond,pista",{0}
"Milk,lemon juice,refined flour,sugar syrup",{0}
"Coffee powder,milk,sugar",{0}
"Tea leaves,milk,sugar",{0}
"Tea leaves,milk,sugar,cardamom,peppercorns",{0}
"Onion,ginger,garlic,green chilli pepper,onion,tomato,cauliflower,cabbage,green peas,carrots,potato,butter,masala,pav",{0}
"Potato,garlic,gram flour,baking soda,lemon juice,green chilli,tamarind,red chutney,pav,jaggery powder",{0}
"Beansprout,potato,onion,chilli,garlic,ginger,tamarind,pav,tomato,sev,lime,yogurt,coriander leaves",{0}
"Onion,poha,sugar,green chilli,potato,lemon juice",{0}
"Potato,gram flour,rice flour,baking soda,chaat masala,garam masala",{0}
"Cheese,Onion,ginger,garlic,green chilli pepper,onion,tomato,cauliflower,cabbage,green peas,carrots,potato,butter,masala,pav",{0}
"Butter,brinjal,capsicum,Onion,ginger,garlic,green chilli pepper,onion,tomato,cauliflower,cabbage,green peas,carrots,potato,masala,pav",{0}
"Red chilli,coriander powder,cumin seeds,lemon juice,garlic,potato,onion,coconut grated,pomegranate seeds,tamarind dates chutney,coriander leaves,pav,sev",{0}
"Maida,carrots, squash,zucchini,garlic,onion,oats,cheese,egg,soya sauce",{0}
"Chicken,breadcrumbs,onion,garlic,egg,pepper",{0}
"Rice,peas, carrot, green beans, cauliflower,vegetable broth,garlic,onion,ginger,",{0}
"Onion,ginger,garlic,,cauliflower,cabbage,green peas,carrots,rice,green chilli,garam masala,coriander leaves",{0}
"Maida,cabbage,french beans,carrots,capsicum,spring onion,garlic,soya sauce,black pepper",{0}
"Paneer,,onion,garlic,ginger,maida,coriander leaves,soya sauce,cabbage,tomato",{0}
"Refined flour,baking powder,paneer,onion,garlic,soya sauce,vinegar",{0}
"Chicken,onion,garlic,ginger,maida,coriander leaves,soya sauce,cabbage,tomato",{0}
"Refined flour,baking powder,chicken,onion,garlic,soya sauce,vinegar",{0}
"Red chilli,garlic,chicken,vinegar,corn flour,soya sauce,cabbage,carrot,onion,black pepper",{0}
"Paneer,Green capsicum,spring onion,garlic,ginger,sauce,green chilli,cheese,maida",{0}
"Wheat flour,carrots,cabbage,spring onions,beans,cauliflower,fish,sauce,onion,garlic,black pepper",{0}
"Maida,mushroom,garlic,spring onion,soya sauce,pepper",{0}
"Green chilli,potato,chaat masala,garam masala,batter,gram flour,baking powder,red chilli powder",{0}
"Paneer,gram flour,garlic,ginger,red chilli powder,green chilli",{0}
"Papdi,curd,sugar,potato,chickpeas,onion,pomegranate seeds,tamarind chutney,mint chutney,sev,coriander leaves",{0}
"Wheat flour,ghee,oil",{0}
"Maida,garlic,green chilli,coriander leaves,baking soda,baking powder,yogurt,milk,butter",{0}
"Flour,chickpea flour,ghee,sugar,almond,egg yolk,baking soda,cardamom,nutmeg",{0}
"Paneer,green peas,onion,ginger,garlic,tomato,red pepepr,green chilli",{0}
"Corn flour,maida,ginger,garlic,pepper,paneer,red chilli powder,green chilli,spring onion,capsicum,soya sauce,sauce,vinegar",{0}
"Onion,ginger,garlic,lady's finger,tomato,amachur",{0}
"Mango pulp,yogurt,milk,sugar,pista,elaichi",{0}
"Wheat flour,gram flour,bajra,jowar,rice flour,onion,ginger,green chilli,coriander powder,ajwain",{0}
"Potato,onion,ginger,garlic,carrot,capsicum,cabbage,beans,tomato paste,milk,cream,cashew,garam amsala",{0}
"Chickpeas,garam masal,ginger,garlic,pomegranate seeds,onion,pepper,tomato",{0}
"Paneer,potato,cardamom,onion,ginger,garlic,green chilli,tomato puree,cream",{0}
"Onion,ginger,garlic,lady's finger,tomato,capsicum,garam masala",{0}
"Onion,cauliflower,carrots,cabbage,beans ,peas,potatoes,ginger,garlic,tomato,curd,green chilli",{0}
Rice,{0}
"Rice,cumin seeds,ghee",{0}
"Onion,garlic,pepper,potato,cheese,basil",{0}
"Vanilla ice-cream,dark chocolate,ginger, chocolate wafer cookies",{0}
"Apple,lemon juice,orange,orange juice,wine,brandy",{0}
"Honey,oats,walnuts,nutmeg,apple,raisins",{0}
"Maida,sugar,baking soda,carrot,raisins,walnut,apple,flaked coconut,eggs",{0}
"Onion,pizza crust,tomato,goat cheese,arugula",{0}
"Carrot,onion,garlic,ginger,butternut squash,apple,pear,coconut milk,bread",{0}
"Onion,garlic,chickpeas,tomato,kidney beans,white beans,black beans,cheese",{0}
"Tomato,onion,black bean,corn",{0}
"Pasta,asparagus,garlic",{0}
"Shallots,escarole,Lettuce,prunes,pecans",{0}
"Onion,Linguine,garlic,red pepper,capers",{0}
"Tomato,cheese,dates,wild rice,Quinoa,onion,lentils",{0}
"Cheese,cucumber,orange juice,olives",{0}
"Granny Smith apple,raisins,celery,yogurt",{0}
"Culiflower,peas,carrot,eggs,scallions",{0}
"Oats,wheat flour,eggs,chocolate chips",{0}
"Oats,brown sugar,egg,chocolate chips,yogurt,maida",{0}
"Lemon,oats,sugar,maida",{0}
"Egg,maida,milk,fruit preserve",{0}
"Maida,cocoa powder,brown sugar,buttermilk",{0}
"Pumpkin canned,splenda,cheese",{0}
"Pumpkin canned,splenda,maida,chocolate chips,egg",{0}
"Splenda,peanut butter,egg",{0}
"Brown sugar,banana,egg,wheat flour",{0}
"Maida,wheat flour,pecan,egg",{0}
"Stevia,brown sugar,carrot,oats,maida,egg,chocolate chips",{0}
"Oats,wheat flour,cinnamon,milk,cheese,maple syrup",{0}
"Carrot,pineapple,egg white,wheat flour,frosting",{0}
"Chococlate cake mix,gelatin mix,cherry,diet cola",{0}
"Maida,cinnamon,banana,yogurt",{0}
"Yellow cake mix,lemon pudding and pie filling,milk,lemon,egg substitute",{0}
"Graham cracker crumbs, vanilla pudding mix,milk,confectioner's sugar",{0}
"Apple,brown sugar,cinnamon,vanilla ice cream,brown sugar",{0}
"Peach,brown sugar,cinnamon graham crackers",{0}
"Banana,milk,vanilla pudding mix,graham cracker pie crust",{0}
"Rice,milk,pista,elaichi",{0}
"Chicken, broccoli florets,pimentos",{0}
"Chicken,cabbage,scallion,water chestnuts",{0}
"Chicken,chicken broth,chunky salsa,cheese",{0}
"apple,chicken",{0}
"chicken,onions",{0}
"chicken,carrots",{0}
"salmon,garlic,lemon",{0}
tuna,{0}
tuna,{0}
salmon,{0}
"orange,ginger,turmeric",{0}
"blackberry,peach,orange",{0}
"celery,chicken",{0}
"wheat,rice",{0}
"carrot,beans,coconut,tomatoes",{0}
"apple,cinnamon,oats",{0}
"broccoli,carrot",{0}
"oats,vanilla extract,peach,mango,walnuts",{0}
"carrots,paprika,masoor dal",{0}
"oats,mint,carrot,",{0}
amla,{0}
"spinach,pear,pancetta,vinegar",{0}
"besan,wheat flour",{0}
"fenugreek leaves,besan,yoghurt",{0}
"lauki,yoghurt",{0}
"beef,green capsipum,tomatoes",{0}
"ladyfingers,tomatoes",{0}
"carrots,apples,ladyfingers",{0}
"corn,zucchini,onion,mozarella cheese,olive oil",{0}
"margarine,corn,carrot,peas,beans,cauliflower,butter",{0}
"margarine,corn,carrot,peas,beans",{0}
"peas,soy sauce,oyster sauce,garlic",{0}
"parmesan,paprika,margarine,wheat bread,italian seasoning",{0}
"mozarella cheese,pepperini sausage,pizza sauce",{0}
